[2026-02-09 20:26:18] 🥳 Nila Command Center running at http://0.0.0.0:5555
[2026-02-09 20:26:18]    Using OpenClaw CLI for gateway data
[2026-02-10 01:12:22] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:12:22] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:12:22] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:12:23] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:12:26] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:12:29] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:12:29] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:12:29] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:12:52] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:12:52] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:12:52] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:12:52] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:12:53] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:12:56] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:13:01] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:13:01] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:13:01] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:13:22] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:13:22] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:13:22] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:13:22] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:13:23] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:13:26] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:13:29] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:13:29] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:13:30] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:13:52] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:13:52] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:13:52] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:13:52] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:13:53] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:13:57] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:14:01] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:14:01] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:14:01] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:14:22] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:14:22] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:14:22] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:14:22] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:14:23] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:14:27] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:14:30] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:14:30] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:14:31] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:14:37] [Proxy] "GET /proxy/dashboard/settings HTTP/1.1" 200 -
[2026-02-10 01:14:37] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:14:37] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:14:37] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:14:37] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:14:37] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:14:42] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:14:46] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:14:46] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:14:46] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:15:07] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:15:07] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:15:07] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:15:07] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:15:08] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:15:12] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:15:15] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:15:15] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:15:16] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:15:37] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:15:37] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:15:37] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:15:37] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:15:38] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:15:41] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:15:44] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:15:44] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:15:44] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:15:56] 🥳 Nila Command Center running at http://0.0.0.0:5555
[2026-02-10 01:15:56]    Using OpenClaw CLI for gateway data
[2026-02-10 01:15:56]    Proxying n8n: http://127.0.0.1:5678
[2026-02-10 01:16:07] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:16:07] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:16:07] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:16:07] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:16:08] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:16:11] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:16:14] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:16:14] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:16:14] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:16:37] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:16:37] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:16:37] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:16:37] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:16:37] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:16:41] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:16:44] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:16:44] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:16:44] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:17:07] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:17:07] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:17:07] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:17:07] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:17:08] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:17:11] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:17:14] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:17:14] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:17:14] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:17:31] [Proxy] "GET /proxy/dashboard/settings HTTP/1.1" 200 -
[2026-02-10 01:17:31] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:17:31] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:17:31] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:17:31] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:17:32] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:17:32] [Proxy] "GET /proxy/dashboard/settings HTTP/1.1" 200 -
[2026-02-10 01:17:32] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:17:32] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:17:32] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:17:32] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:17:32] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:17:33] [Proxy] "GET /proxy/dashboard/settings HTTP/1.1" 200 -
[2026-02-10 01:17:33] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:17:33] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:17:33] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:17:33] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:17:33] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:17:33] [Proxy] "GET /proxy/dashboard/settings HTTP/1.1" 200 -
[2026-02-10 01:17:33] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:17:33] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:17:33] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:17:33] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:17:34] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:17:34] [Proxy] "GET /proxy/dashboard/settings HTTP/1.1" 200 -
[2026-02-10 01:17:34] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:17:34] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:17:34] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:17:34] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:17:34] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:17:51] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:17:57] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:17:59] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:17:59] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:17:59] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:18:01] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:18:01] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:18:02] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:18:02] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:18:03] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:18:03] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:18:03] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:18:03] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:18:04] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:18:04] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:18:04] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:18:04] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:18:05] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:18:05] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:18:05] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:18:13] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:18:14] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:18:15] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:18:16] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:18:18] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:18:19] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:18:19] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:18:21] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:18:30] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:18:30] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:18:30] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:18:30] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:18:30] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:18:33] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:18:34] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:18:34] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:18:34] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:18:34] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:18:34] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:18:36] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:18:37] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:18:37] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:18:43] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:18:45] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:18:46] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:18:47] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:19:04] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:19:04] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:19:04] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:19:04] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:19:05] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:19:10] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:19:14] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:19:14] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:19:14] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:19:34] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:19:34] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:19:34] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:19:34] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:19:35] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:19:39] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:19:43] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:19:43] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:19:44] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:20:04] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:20:04] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:20:04] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:20:04] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:20:05] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:20:09] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:20:11] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:20:11] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:20:12] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:20:34] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:20:34] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:20:34] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:20:34] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:20:35] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:20:38] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:20:41] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:20:41] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:20:41] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:21:43] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:21:43] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:21:43] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:21:43] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:21:44] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:21:47] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:21:50] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:21:50] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:21:50] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:22:43] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:22:43] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:22:43] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:22:43] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:22:44] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:22:46] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:22:49] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:22:49] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:22:49] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:23:04] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:23:04] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:23:04] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:23:04] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:23:05] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:23:07] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:23:10] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:23:10] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:23:10] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:23:34] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:23:34] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:23:34] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:23:34] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:23:35] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:23:37] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:23:40] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:23:40] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:23:40] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:24:47] 🥳 Nila Command Center running at http://0.0.0.0:5555
[2026-02-10 01:24:47]    Using OpenClaw CLI for gateway data
[2026-02-10 01:24:47]    Proxying n8n: http://127.0.0.1:5678
[2026-02-10 01:24:47] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:24:47] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:24:50] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:25:43] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:25:43] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:25:43] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:25:43] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:25:44] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
